aerosol_type,dust,sea_salt,fine_mode_high_absorption,fine_mode_low_absorption
0,0,0,0,100
1,0,0,25,75
2,0,0,50,50
3,0,0,75,25
4,0,0,100,0
5,0,25,0,75
6,0,25,25,50
7,0,25,50,25
8,0,25,75,0
9,0,50,0,50
10,0,50,25,25
11,0,50,50,0
12,0,75,0,25
13,0,75,25,0
14,0,100,0,0
15,25,0,0,75
16,25,0,25,50
17,25,0,50,25
18,25,0,75,0
19,25,25,0,50
20,25,25,25,25
21,25,25,50,0
22,25,50,0,25
23,25,50,25,0
24,25,75,0,0
25,50,0,0,50
26,50,0,25,25
27,50,0,50,0
28,50,25,0,25
29,50,25,25,0
30,50,50,0,0
31,75,0,0,25
32,75,0,25,0
33,75,25,0,0
34,100,0,0,0
